Label (Grouping),Citizens 18 years and over, AGE, 18 to 29 years, 30 to 44 years, 45 to 64 years, 65 years and over, SEX, Male, Female, RACE AND HISPANIC ORIGIN, White alone, Black or African American alone, Asian alone, American Indian and Alaska Native alone, Native Hawaiian and Other Pacific Islander alone, Some Other Race alone, Two or More Races, Hispanic or Latino," White alone, Not Hispanic or Latino", EDUCATIONAL ATTAINMENT, Less than 9th grade," 9th to 12th grade, no diploma", High school graduate (includes equivalency)," Some college, no degree", Associate's degree, Bachelor's degree, Graduate or professional degree, High school degree or higher, Bachelor's degree or higher, POVERTY STATUS," Total Citizens, 18 years and older, for whom poverty status is determined", Income in the past 12 months below poverty level, Income in the past 12 months at or above the poverty level, HOUSEHOLD INCOME (IN 2019 INFLATION-ADJUSTED DOLLARS)," Median Household Income for Households with a Citizen, Voting-Age Householder"
"Congressional District 50 (116th Congress), California!!Percent!!Margin of Error",(X),,±1.2,±1.3,±1.3,±1.1,,±0.9,±0.9,,±1.3,N,±0.9,N,N,±0.7,±0.7,±1.6,±1.5,,±0.6,±0.6,±1.3,±1.2,±0.7,±1.0,±0.8,±0.8,±1.3,,(X),±1.1,±1.1,,(X)
"Congressional District 51 (116th Congress), California!!Total!!Estimate","443,525",,"125,891","124,293","118,506","74,835",,"233,619","209,906",,"295,442","37,017","36,727",N,N,"48,337","17,856","279,878","79,968",,"31,137","46,021","131,079","129,894","37,545","49,389","18,460","366,367","67,849",,"414,620","49,226","365,394",,"58,431"
"Congressional District 51 (116th Congress), California!!Total!!Margin of Error","±12,723",,"±5,774","±7,335","±5,448","±3,625",,"±7,243","±7,837",,"±12,578","±5,009","±3,902",N,N,"±4,476","±3,152","±11,350","±5,459",,"±3,634","±3,630","±7,851","±7,018","±3,644","±3,796","±2,540","±12,093","±4,252",,"±12,302","±4,217","±11,696",,"±3,069"
"Congressional District 51 (116th Congress), California!!Percent!!Estimate",(X),,28.40%,28.00%,26.70%,16.90%,,52.70%,47.30%,,66.60%,8.30%,8.30%,N,N,10.90%,4.00%,63.10%,18.00%,,7.00%,10.40%,29.60%,29.30%,8.50%,11.10%,4.20%,82.60%,15.30%,,(X),11.90%,88.10%,,(X)
"Congressional District 51 (116th Congress), California!!Percent!!Margin of Error",(X),,±1.0,±1.4,±1.0,±0.7,,±0.9,±0.9,,±1.8,±1.1,±0.9,N,N,±1.1,±0.7,±1.6,±1.2,,±0.8,±0.8,±1.5,±1.2,±0.8,±0.8,±0.6,±1.2,±0.9,,(X),±1.0,±1.0,,(X)
"Congressional District 52 (116th Congress), California!!Total!!Estimate","560,713",,"134,008","141,939","177,190","107,576",,"284,877","275,836",,"401,089","18,270","97,405",N,N,"15,770","24,254","65,811","356,114",,"7,965","14,275","71,272","122,384","36,894","184,065","123,858","538,473","307,923",,"541,489","42,960","498,529",,"107,652"
"Congressional District 52 (116th Congress), California!!Total!!Margin of Error","±13,218",,"±7,719","±7,237","±7,512","±5,803",,"±7,215","±8,912",,"±11,891","±3,622","±7,627",N,N,"±4,358","±3,331","±4,962","±11,381",,"±1,815","±2,347","±5,536","±7,106","±3,816","±7,806","±6,034","±12,733","±9,445",,"±13,393","±5,057","±12,057",,"±4,643"
"Congressional District 52 (116th Congress), California!!Percent!!Estimate",(X),,23.90%,25.30%,31.60%,19.20%,,50.80%,49.20%,,71.50%,3.30%,17.40%,N,N,2.80%,4.30%,11.70%,63.50%,,1.40%,2.50%,12.70%,21.80%,6.60%,32.80%,22.10%,96.00%,54.90%,,(X),7.90%,92.10%,,(X)
"Congressional District 52 (116th Congress), California!!Percent!!Margin of Error",(X),,±1.1,±1.3,±1.0,±1.0,,±0.8,±0.8,,±1.5,±0.6,±1.2,N,N,±0.8,±0.6,±0.9,±1.5,,±0.3,±0.4,±0.9,±1.1,±0.7,±1.1,±1.1,±0.5,±1.3,,(X),±0.9,±0.9,,(X)
"Congressional District 53 (116th Congress), California!!Total!!Estimate","564,095",,"144,149","167,025","155,159","97,762",,"278,952","285,143",,"369,717","46,280","79,685",N,N,"34,467","27,244","163,826","255,124",,"16,844","23,063","106,101","153,361","53,463","137,528","73,735","524,188","211,263",,"555,166","49,040","506,126",,"84,676"
"Congressional District 53 (116th Congress), California!!Total!!Margin of Error","±15,138",,"±9,775","±8,804","±6,339","±4,800",,"±9,450","±9,066",,"±13,314","±4,736","±7,257",N,N,"±5,429","±3,969","±11,382","±10,138",,"±2,984","±3,411","±6,991","±10,189","±4,144","±6,033","±4,915","±14,327","±7,391",,"±14,933","±5,518","±13,924",,"±3,285"
"Congressional District 53 (116th Congress), California!!Percent!!Estimate",(X),,25.60%,29.60%,27.50%,17.30%,,49.50%,50.50%,,65.50%,8.20%,14.10%,N,N,6.10%,4.80%,29.00%,45.20%,,3.00%,4.10%,18.80%,27.20%,9.50%,24.40%,13.10%,92.90%,37.50%,,(X),8.80%,91.20%,,(X)
"Congressional District 53 (116th Congress), California!!Percent!!Margin of Error",(X),,±1.4,±1.4,±1.0,±0.9,,±0.9,±0.9,,±1.6,±0.8,±1.2,N,N,±1.0,±0.7,±1.7,±1.6,,±0.5,±0.6,±1.1,±1.5,±0.7,±1.0,±0.9,±0.8,±1.3,,(X),±0.9,±0.9,,(X)
"Congressional District 1 (116th Congress), Colorado!!Total!!Estimate","635,916",,"150,668","210,039","171,037","104,172",,"316,403","319,513",,"518,177","49,346","17,893",N,N,"23,041","23,058","128,974","421,331",,"15,435","26,596","113,486","120,437","33,844","208,363","117,755","593,885","326,118",,"625,044","61,452","563,592",,"80,159"
"Congressional District 1 (116th Congress), Colorado!!Total!!Margin of Error","±5,891",,"±3,139","±3,898","±3,414","±2,215",,"±3,938","±3,863",,"±6,811","±2,744","±1,693",N,N,"±4,392","±2,449","±4,933","±4,202",,"±2,633","±3,330","±6,136","±6,384","±3,154","±6,116","±5,637","±5,995","±6,960",,"±6,205","±5,939","±7,177",,"±2,377"
"Congressional District 1 (116th Congress), Colorado!!Percent!!Estimate",(X),,23.70%,33.00%,26.90%,16.40%,,49.80%,50.20%,,81.50%,7.80%,2.80%,N,N,3.60%,3.60%,20.30%,66.30%,,2.40%,4.20%,17.80%,18.90%,5.30%,32.80%,18.50%,93.40%,51.30%,,(X),9.80%,90.20%,,(X)
"Congressional District 1 (116th Congress), Colorado!!Percent!!Margin of Error",(X),,±0.4,±0.5,±0.5,±0.3,,±0.4,±0.4,,±0.8,±0.4,±0.3,N,N,±0.7,±0.4,±0.7,±0.6,,±0.4,±0.5,±0.9,±1.0,±0.5,±0.9,±0.9,±0.7,±1.1,,(X),±0.9,±0.9,,(X)
"Congressional District 2 (116th Congress), Colorado!!Total!!Estimate","639,136",,"157,281","146,870","208,297","126,688",,"321,508","317,628",,"590,382",N,"15,672",N,N,"6,886","14,253","53,624","547,610",,"5,709","16,762","99,191","142,651","47,737","198,039","129,047","616,665","327,086",,"619,696","64,267","555,429",,"88,224"
"Congressional District 2 (116th Congress), Colorado!!Total!!Margin of Error","±6,277",,"±3,364","±4,097","±4,503","±3,800",,"±4,395","±3,827",,"±6,001",N,"±2,129",N,N,"±2,243","±2,307","±3,318","±5,716",,"±1,445","±3,048","±6,092","±6,413","±4,094","±7,259","±5,242","±7,828","±8,447",,"±6,976","±6,197","±9,203",,"±2,144"
"Congressional District 2 (116th Congress), Colorado!!Percent!!Estimate",(X),,24.60%,23.00%,32.60%,19.80%,,50.30%,49.70%,,92.40%,N,2.50%,N,N,1.10%,2.20%,8.40%,85.70%,,0.90%,2.60%,15.50%,22.30%,7.50%,31.00%,20.20%,96.50%,51.20%,,(X),10.40%,89.60%,,(X)
"Congressional District 2 (116th Congress), Colorado!!Percent!!Margin of Error",(X),,±0.5,±0.6,±0.6,±0.6,,±0.4,±0.4,,±0.6,N,±0.3,N,N,±0.3,±0.4,±0.5,±0.6,,±0.2,±0.5,±1.0,±1.0,±0.6,±1.1,±0.8,±0.5,±1.2,,(X),±1.0,±1.0,,(X)
"Congressional District 3 (116th Congress), Colorado!!Total!!Estimate","571,465",,"106,550","134,157","184,818","145,940",,"285,677","285,788",,"520,794",N,"5,212",N,N,"14,353",N,"111,292","434,909",,"11,605","33,606","151,431","147,909","48,795","121,253","56,866","526,254","178,119",,"558,753","67,183","491,570",,"60,679"
"Congressional District 3 (116th Congress), Colorado!!Total!!Margin of Error","±4,366",,"±3,173","±3,567","±3,378","±2,430",,"±3,441","±3,174",,"±5,291",N,"±1,402",N,N,"±2,187",N,"±3,021","±3,586",,"±2,109","±2,997","±5,774","±6,140","±3,593","±5,592","±3,567","±5,410","±6,920",,"±4,706","±5,599","±7,684",,"±1,570"
"Congressional District 3 (116th Congress), Colorado!!Percent!!Estimate",(X),,18.60%,23.50%,32.30%,25.50%,,50.00%,50.00%,,91.10%,N,0.90%,N,N,2.50%,N,19.50%,76.10%,,2.00%,5.90%,26.50%,25.90%,8.50%,21.20%,10.00%,92.10%,31.20%,,(X),12.00%,88.00%,,(X)
"Congressional District 3 (116th Congress), Colorado!!Percent!!Margin of Error",(X),,±0.5,±0.6,±0.5,±0.5,,±0.4,±0.4,,±0.6,N,±0.2,N,N,±0.4,N,±0.5,±0.5,,±0.4,±0.5,±1.0,±1.1,±0.6,±1.0,±0.6,±0.6,±1.1,,(X),±1.0,±1.0,,(X)
"Congressional District 4 (116th Congress), Colorado!!Total!!Estimate","618,377",,"122,246","165,410","210,998","119,723",,"309,567","308,810",,"565,417","8,335","10,147",N,N,"13,300",N,"103,478","482,978",,"15,387","32,375","154,179","145,403","56,472","136,090","78,471","570,615","214,561",,"603,602","43,360","560,242",,"85,083"
"Congressional District 4 (116th Congress), Colorado!!Total!!Margin of Error","±6,999",,"±4,399","±3,822","±4,299","±2,930",,"±4,863","±3,870",,"±7,091","±1,408","±1,668",N,N,"±2,523",N,"±5,078","±4,857",,"±2,456","±3,064","±5,850","±6,015","±3,526","±4,858","±4,269","±7,317","±6,251",,"±7,197","±3,605","±7,292",,"±2,255"
"Congressional District 4 (116th Congress), Colorado!!Percent!!Estimate",(X),,19.80%,26.70%,34.10%,19.40%,,50.10%,49.90%,,91.40%,1.30%,1.60%,N,N,2.20%,N,16.70%,78.10%,,2.50%,5.20%,24.90%,23.50%,9.10%,22.00%,12.70%,92.30%,34.70%,,(X),7.20%,92.80%,,(X)
"Congressional District 4 (116th Congress), Colorado!!Percent!!Margin of Error",(X),,±0.6,±0.6,±0.6,±0.5,,±0.4,±0.4,,±0.6,±0.2,±0.3,N,N,±0.4,N,±0.7,±0.8,,±0.4,±0.5,±0.9,±0.9,±0.6,±0.8,±0.7,±0.6,±1.0,,(X),±0.6,±0.6,,(X)
"Congressional District 5 (116th Congress), Colorado!!Total!!Estimate","618,627",,"147,554","156,553","194,543","119,977",,"318,636","299,991",,"518,648","37,348","14,468",N,N,"15,783","23,514","83,122","462,132",,"8,070","25,532","146,252","160,704","65,687","135,034","77,348","585,025","212,382",,"591,267","49,516","541,751",,"71,865"
"Congressional District 5 (116th Congress), Colorado!!Total!!Margin of Error","±3,580",,"±2,106","±2,738","±2,320","±1,715",,"±2,360","±2,520",,"±4,901","±1,883","±1,246",N,N,"±3,443","±2,620","±3,073","±2,066",,"±1,510","±3,064","±6,924","±6,205","±4,577","±5,995","±4,648","±4,883","±7,237",,"±4,172","±5,058","±6,553",,"±1,750"
"Congressional District 5 (116th Congress), Colorado!!Percent!!Estimate",(X),,23.90%,25.30%,31.40%,19.40%,,51.50%,48.50%,,83.80%,6.00%,2.30%,N,N,2.60%,3.80%,13.40%,74.70%,,1.30%,4.10%,23.60%,26.00%,10.60%,21.80%,12.50%,94.60%,34.30%,,(X),8.40%,91.60%,,(X)
"Congressional District 5 (116th Congress), Colorado!!Percent!!Margin of Error",(X),,±0.3,±0.4,±0.3,±0.3,,±0.3,±0.3,,±0.7,±0.3,±0.2,N,N,±0.6,±0.4,±0.4,±0.4,,±0.2,±0.5,±1.1,±1.0,±0.7,±1.0,±0.7,±0.6,±1.2,,(X),±0.9,±0.9,,(X)
"Congressional District 6 (116th Congress), Colorado!!Total!!Estimate","569,294",,"114,725","155,655","195,988","102,926",,"282,862","286,432",,"443,597","53,209","29,658",N,N,"19,420","17,422","83,159","387,284",,"11,329","26,439","120,486","121,361","48,401","152,997","88,281","531,526","241,278",,"563,275","30,116","533,159",,"91,507"
"Congressional District 6 (116th Congress), Colorado!!Total!!Margin of Error","±8,619",,"±5,332","±3,978","±4,578","±3,580",,"±5,334","±5,051",,"±7,936","±3,019","±2,780",N,N,"±3,961","±3,015","±5,982","±6,314",,"±2,204","±3,290","±6,196","±5,858","±3,708","±5,191","±4,716","±9,152","±6,996",,"±8,742","±3,572","±9,383",,"±2,124"
"Congressional District 6 (116th Congress), Colorado!!Percent!!Estimate",(X),,20.20%,27.30%,34.40%,18.10%,,49.70%,50.30%,,77.90%,9.30%,5.20%,N,N,3.40%,3.10%,14.60%,68.00%,,2.00%,4.60%,21.20%,21.30%,8.50%,26.90%,15.50%,93.40%,42.40%,,(X),5.30%,94.70%,,(X)
"Congressional District 6 (116th Congress), Colorado!!Percent!!Margin of Error",(X),,±0.7,±0.7,±0.6,±0.6,,±0.5,±0.5,,±0.9,±0.5,±0.5,N,N,±0.7,±0.5,±1.0,±1.0,,±0.4,±0.6,±0.9,±0.9,±0.6,±1.0,±0.8,±0.7,±1.3,,(X),±0.6,±0.6,,(X)
"Congressional District 7 (116th Congress), Colorado!!Total!!Estimate","591,395",,"131,650","170,329","178,558","110,858",,"293,995","297,400",,"522,665","8,981","16,482",N,N,"16,555","20,582","138,164","412,910",,"16,631","38,022","155,474","131,706","45,771","137,146","66,645","536,742","203,791",,"583,018","41,489","541,529",,"78,733"
"Congressional District 7 (116th Congress), Colorado!!Total!!Margin of Error","±7,760",,"±3,815","±4,356","±5,065","±3,030",,"±4,867","±4,739",,"±8,246","±1,999","±2,180",N,N,"±2,598","±3,513","±5,754","±5,727",,"±2,616","±4,189","±7,955","±6,673","±3,876","±5,226","±3,742","±7,813","±6,599",,"±7,516","±4,939","±8,159",,"±2,436"
