Label (Grouping),Citizens 18 years and over, AGE, 18 to 29 years, 30 to 44 years, 45 to 64 years, 65 years and over, SEX, Male, Female, RACE AND HISPANIC ORIGIN, White alone, Black or African American alone, Asian alone, American Indian and Alaska Native alone, Native Hawaiian and Other Pacific Islander alone, Some Other Race alone, Two or More Races, Hispanic or Latino," White alone, Not Hispanic or Latino", EDUCATIONAL ATTAINMENT, Less than 9th grade," 9th to 12th grade, no diploma", High school graduate (includes equivalency)," Some college, no degree", Associate's degree, Bachelor's degree, Graduate or professional degree, High school degree or higher, Bachelor's degree or higher, POVERTY STATUS," Total Citizens, 18 years and older, for whom poverty status is determined", Income in the past 12 months below poverty level, Income in the past 12 months at or above the poverty level, HOUSEHOLD INCOME (IN 2019 INFLATION-ADJUSTED DOLLARS)," Median Household Income for Households with a Citizen, Voting-Age Householder"
1204_!!Percent!!Estimate,(X),,19.70%,24.10%,33.70%,22.50%,,48.00%,52.00%,,83.00%,9.50%,3.40%,N,N,1.30%,2.20%,7.00%,77.80%,,1.70%,4.70%,24.30%,20.90%,9.60%,25.50%,13.20%,93.60%,38.70%,,(X),7.40%,92.60%,,(X)
1204_!!Percent!!Margin of Error,(X),,±0.7,±0.8,±0.8,±0.6,,±0.6,±0.6,,±1.1,±0.8,±0.5,N,N,±0.5,±0.4,±0.6,±1.1,,±0.4,±0.7,±1.1,±1.2,±0.8,±1.4,±0.9,±0.8,±1.5,,(X),±0.8,±0.8,,(X)
1205_!!Total!!Estimate,553978,,145960,140878,170344,96796,,267413,286565,,264375,255118,9890,N,N,12061,10157,39549,240313,,18538,59244,187451,137038,47385,67972,36350,476196,104322,,526718,104086,422632,,44478
1205_!!Total!!Margin of Error,±11845,,±6143,±7308,±6471,±4097,,±6688,±7413,,±8166,±7375,±1970,N,N,±3326,±2441,±4396,±7230,,±3158,±5176,±8538,±8207,±4371,±5228,±2837,±11005,±5716,,±11921,±7993,±11450,,±2288
1205_!!Percent!!Estimate,(X),,26.30%,25.40%,30.70%,17.50%,,48.30%,51.70%,,47.70%,46.10%,1.80%,N,N,2.20%,1.80%,7.10%,43.40%,,3.30%,10.70%,33.80%,24.70%,8.60%,12.30%,6.60%,86.00%,18.80%,,(X),19.80%,80.20%,,(X)
1205_!!Percent!!Margin of Error,(X),,±0.8,±1.2,±1.0,±0.8,,±0.7,±0.7,,±1.1,±1.1,±0.3,N,N,±0.6,±0.4,±0.8,±1.0,,±0.6,±0.9,±1.4,±1.3,±0.8,±0.9,±0.5,±1.0,±0.9,,(X),±1.4,±1.4,,(X)
1206_!!Total!!Estimate,630741,,98471,118481,211949,201840,,304518,326223,,525494,61626,9305,N,N,22372,10150,69603,481135,,14525,41978,212734,145106,69946,94165,52287,574238,146452,,620905,66232,554673,,55935
1206_!!Total!!Margin of Error,±7540,,±2536,±3686,±4440,±3309,,±4089,±5494,,±6030,±4054,±1417,N,N,±3871,±1903,±3895,±5431,,±2175,±4224,±8060,±7161,±4332,±6062,±4192,±8607,±8194,,±7505,±6718,±9297,,±2077
1206_!!Percent!!Estimate,(X),,15.60%,18.80%,33.60%,32.00%,,48.30%,51.70%,,83.30%,9.80%,1.50%,N,N,3.50%,1.60%,11.00%,76.30%,,2.30%,6.70%,33.70%,23.00%,11.10%,14.90%,8.30%,91.00%,23.20%,,(X),10.70%,89.30%,,(X)
1206_!!Percent!!Margin of Error,(X),,±0.4,±0.5,±0.5,±0.5,,±0.5,±0.5,,±0.8,±0.6,±0.2,N,N,±0.6,±0.3,±0.6,±0.8,,±0.3,±0.7,±1.2,±1.1,±0.7,±0.9,±0.7,±0.8,±1.3,,(X),±1.1,±1.1,,(X)
1207_!!Total!!Estimate,609432,,147683,155931,187422,118396,,290108,319324,,470988,70004,22680,N,N,29610,13749,139899,369971,,11750,28339,132766,131022,76197,153690,75668,569343,229358,,589175,59822,529353,,68550
1207_!!Total!!Margin of Error,±13186,,±7553,±6812,±5226,±4320,,±6997,±7965,,±11564,±5198,±3136,N,N,±6234,±2766,±7609,±9130,,±2471,±3979,±8838,±7074,±6849,±7713,±5205,±13273,±9179,,±12650,±6716,±13915,,±3355
1207_!!Percent!!Estimate,(X),,24.20%,25.60%,30.80%,19.40%,,47.60%,52.40%,,77.30%,11.50%,3.70%,N,N,4.90%,2.30%,23.00%,60.70%,,1.90%,4.70%,21.80%,21.50%,12.50%,25.20%,12.40%,93.40%,37.60%,,(X),10.20%,89.80%,,(X)
1207_!!Percent!!Margin of Error,(X),,±1.0,±0.9,±0.7,±0.7,,±0.6,±0.6,,±1.2,±0.8,±0.5,N,N,±1.0,±0.4,±1.0,±1.2,,±0.4,±0.7,±1.3,±1.1,±1.1,±1.2,±0.9,±0.7,±1.4,,(X),±1.1,±1.1,,(X)
1208_!!Total!!Estimate,615259,,94153,112685,210476,197945,,296340,318919,,526162,53659,10728,N,N,6240,N,54143,482280,,10077,41909,176192,135817,74219,111358,65687,563273,177045,,609846,52349,557497,,59429
1208_!!Total!!Margin of Error,±5668,,±3067,±3282,±3176,±1739,,±3805,±3096,,±5311,±3619,±1322,N,N,±2327,N,±3945,±2747,,±2568,±5164,±8282,±8188,±4862,±5698,±4447,±6573,±7720,,±5640,±6995,±8305,,±2408
1208_!!Percent!!Estimate,(X),,15.30%,18.30%,34.20%,32.20%,,48.20%,51.80%,,85.50%,8.70%,1.70%,N,N,1.00%,N,8.80%,78.40%,,1.60%,6.80%,28.60%,22.10%,12.10%,18.10%,10.70%,91.60%,28.80%,,(X),8.60%,91.40%,,(X)
1208_!!Percent!!Margin of Error,(X),,±0.4,±0.5,±0.4,±0.3,,±0.3,±0.3,,±0.6,±0.6,±0.2,N,N,±0.4,N,±0.6,±0.7,,±0.4,±0.8,±1.3,±1.3,±0.8,±0.9,±0.7,±0.9,±1.3,,(X),±1.1,±1.1,,(X)
1209_!!Total!!Estimate,641755,,132269,163886,199378,146222,,313030,328725,,491191,79153,17503,N,N,35885,14820,253337,289733,,25093,50971,200754,141551,73805,101876,47705,565691,149581,,634647,69191,565456,,55989
1209_!!Total!!Margin of Error,±16638,,±6314,±9380,±7762,±5650,,±9145,±10414,,±16265,±7266,±2983,N,N,±6426,±3417,±11264,±12035,,±4205,±5474,±10685,±9894,±7043,±8601,±5713,±16447,±10424,,±16836,±7781,±17749,,±1968
1209_!!Percent!!Estimate,(X),,20.60%,25.50%,31.10%,22.80%,,48.80%,51.20%,,76.50%,12.30%,2.70%,N,N,5.60%,2.30%,39.50%,45.10%,,3.90%,7.90%,31.30%,22.10%,11.50%,15.90%,7.40%,88.10%,23.30%,,(X),10.90%,89.10%,,(X)
1209_!!Percent!!Margin of Error,(X),,±0.9,±1.2,±0.9,±0.8,,±0.8,±0.8,,±1.7,±1.1,±0.5,N,N,±1.0,±0.5,±1.3,±1.6,,±0.6,±0.9,±1.5,±1.4,±1.0,±1.2,±0.9,±1.0,±1.5,,(X),±1.2,±1.2,,(X)
1210_!!Total!!Estimate,535381,,113998,149666,180186,91531,,259125,276256,,312819,148550,26594,N,N,29931,16882,131365,220666,,19010,46542,134370,114926,52090,113405,55038,469829,168443,,529109,48144,480965,,64873
1210_!!Total!!Margin of Error,±14419,,±7480,±6895,±6387,±4545,,±8164,±8600,,±11329,±7438,±3829,N,N,±5073,±3775,±7595,±8487,,±3711,±5674,±8172,±7885,±4997,±7933,±6217,±13612,±9490,,±14397,±6439,±14447,,±2126
1210_!!Percent!!Estimate,(X),,21.30%,28.00%,33.70%,17.10%,,48.40%,51.60%,,58.40%,27.70%,5.00%,N,N,5.60%,3.20%,24.50%,41.20%,,3.60%,8.70%,25.10%,21.50%,9.70%,21.20%,10.30%,87.80%,31.50%,,(X),9.10%,90.90%,,(X)
1210_!!Percent!!Margin of Error,(X),,±1.1,±1.1,±0.9,±0.9,,±0.8,±0.8,,±1.4,±1.1,±0.7,N,N,±0.9,±0.7,±1.2,±1.3,,±0.7,±1.0,±1.4,±1.3,±1.0,±1.3,±1.1,±1.3,±1.4,,(X),±1.2,±1.2,,(X)
1211_!!Total!!Estimate,669669,,79635,101981,187817,300236,,318953,350716,,594010,44805,7340,N,N,9237,11692,62989,543676,,13853,55867,224771,157885,68680,89827,58786,599949,148613,,654740,70800,583940,,53096
1211_!!Total!!Margin of Error,±10641,,±4362,±5521,±6198,±4965,,±6498,±6355,,±10238,±4504,±1427,N,N,±3500,±2364,±5338,±9025,,±2139,±4782,±10587,±8621,±6029,±6151,±4913,±11538,±8035,,±11102,±5912,±11139,,±1516
1211_!!Percent!!Estimate,(X),,11.90%,15.20%,28.00%,44.80%,,47.60%,52.40%,,88.70%,6.70%,1.10%,N,N,1.40%,1.70%,9.40%,81.20%,,2.10%,8.30%,33.60%,23.60%,10.30%,13.40%,8.80%,89.60%,22.20%,,(X),10.80%,89.20%,,(X)
1211_!!Percent!!Margin of Error,(X),,±0.6,±0.7,±0.7,±0.8,,±0.5,±0.5,,±0.8,±0.7,±0.2,N,N,±0.5,±0.3,±0.7,±1.0,,±0.3,±0.7,±1.4,±1.3,±0.9,±0.9,±0.7,±0.8,±1.2,,(X),±0.9,±0.9,,(X)
1212_!!Total!!Estimate,625818,,90096,131067,211407,193248,,295093,330725,,556301,32976,14801,N,N,7538,12109,70301,497780,,14740,41751,201249,134710,66051,109966,57351,569327,167317,,618866,59519,559347,,56969
1212_!!Total!!Margin of Error,±8135,,±3621,±4146,±4683,±4080,,±5584,±4837,,±8561,±2602,±2046,N,N,±1996,±2400,±3220,±7636,,±2227,±4146,±6948,±6360,±4372,±6009,±4626,±8317,±6754,,±8358,±5266,±9739,,±1712
1212_!!Percent!!Estimate,(X),,14.40%,20.90%,33.80%,30.90%,,47.20%,52.80%,,88.90%,5.30%,2.40%,N,N,1.20%,1.90%,11.20%,79.50%,,2.40%,6.70%,32.20%,21.50%,10.60%,17.60%,9.20%,91.00%,26.70%,,(X),9.60%,90.40%,,(X)
1212_!!Percent!!Margin of Error,(X),,±0.5,±0.6,±0.6,±0.6,,±0.5,±0.5,,±0.6,±0.4,±0.3,N,N,±0.3,±0.4,±0.5,±0.7,,±0.4,±0.6,±1.0,±1.0,±0.7,±1.0,±0.7,±0.8,±1.1,,(X),±0.9,±0.9,,(X)
1213_!!Total!!Estimate,585038,,96691,117937,203682,166728,,279918,305120,,479533,67103,16166,N,N,8006,12533,48634,443498,,14156,38913,161793,132132,58960,118883,60201,531969,179084,,573854,63432,510422,,57070
1213_!!Total!!Margin of Error,±8003,,±3566,±4397,±4558,±3654,,±5503,±4805,,±8214,±3149,±1592,N,N,±2343,±1951,±3321,±7275,,±2374,±4109,±7794,±6761,±3948,±5251,±4236,±8256,±6927,,±8112,±5692,±8931,,±1683
1213_!!Percent!!Estimate,(X),,16.50%,20.20%,34.80%,28.50%,,47.80%,52.20%,,82.00%,11.50%,2.80%,N,N,1.40%,2.10%,8.30%,75.80%,,2.40%,6.70%,27.70%,22.60%,10.10%,20.30%,10.30%,90.90%,30.60%,,(X),11.10%,88.90%,,(X)
1213_!!Percent!!Margin of Error,(X),,±0.5,±0.7,±0.6,±0.6,,±0.6,±0.6,,±0.7,±0.5,±0.3,N,N,±0.4,±0.3,±0.5,±0.7,,±0.4,±0.7,±1.3,±1.1,±0.7,±0.9,±0.7,±0.8,±1.1,,(X),±1.0,±1.0,,(X)
1214_!!Total!!Estimate,571062,,134782,143437,188643,104200,,277670,293392,,410357,106965,18571,N,N,17109,16642,152166,287785,,20420,34824,142347,116795,51846,128611,76219,515818,204830,,560337,71174,489163,,61747
1214_!!Total!!Margin of Error,±13269,,±7311,±6104,±7140,±4092,,±7492,±8247,,±10899,±6903,±2664,N,N,±3682,±2937,±7849,±7743,,±2962,±3777,±8022,±6588,±3828,±6432,±4530,±12113,±8120,,±13426,±6629,±12339,,±1393
1214_!!Percent!!Estimate,(X),,23.60%,25.10%,33.00%,18.20%,,48.60%,51.40%,,71.90%,18.70%,3.30%,N,N,3.00%,2.90%,26.60%,50.40%,,3.60%,6.10%,24.90%,20.50%,9.10%,22.50%,13.30%,90.30%,35.90%,,(X),12.70%,87.30%,,(X)
1214_!!Percent!!Margin of Error,(X),,±1.0,±1.0,±0.9,±0.7,,±0.7,±0.7,,±1.2,±1.1,±0.4,N,N,±0.6,±0.5,±1.1,±1.3,,±0.5,±0.6,±1.2,±1.0,±0.7,±1.1,±0.7,±0.8,±1.3,,(X),±1.1,±1.1,,(X)
1215_!!Total!!Estimate,580626,,114262,148565,191368,126431,,276725,303901,,446510,83383,14342,N,N,22018,11262,105410,365649,,19435,50248,181176,126854,62750,95859,44304,510943,140163,,571517,59903,511614,,58555
1215_!!Total!!Margin of Error,±15482,,±6618,±8511,±9499,±6462,,±8799,±9053,,±13105,±6685,±2395,N,N,±4506,±2724,±8645,±12358,,±3510,±5025,±10934,±5663,±4966,±5750,±3732,±14539,±7493,,±15335,±5737,±14998,,±2559
1215_!!Percent!!Estimate,(X),,19.70%,25.60%,33.00%,21.80%,,47.70%,52.30%,,76.90%,14.40%,2.50%,N,N,3.80%,1.90%,18.20%,63.00%,,3.30%,8.70%,31.20%,21.80%,10.80%,16.50%,7.60%,88.00%,24.10%,,(X),10.50%,89.50%,,(X)
1215_!!Percent!!Margin of Error,(X),,±1.0,±1.3,±1.3,±1.1,,±0.8,±0.8,,±1.3,±1.0,±0.4,N,N,±0.8,±0.5,±1.4,±1.6,,±0.6,±0.8,±1.4,±0.9,±0.8,±1.0,±0.6,±0.9,±1.3,,(X),±1.0,±1.0,,(X)
1216_!!Total!!Estimate,665073,,99800,125238,210257,229778,,313756,351317,,572913,56709,11023,N,N,12245,11156,78632,508899,,14834,41316,190208,139552,67401,127807,83955,608923,211762,,657788,49693,608095,,69490
1216_!!Total!!Margin of Error,±11451,,±4609,±6346,±6038,±5149,,±6214,±7129,,±10444,±5187,±1748,N,N,±3917,±2455,±7504,±8794,,±2837,±4916,±8537,±8188,±5489,±6704,±4580,±11676,±7303,,±11537,±6460,±12242,,±2576
1216_!!Percent!!Estimate,(X),,15.00%,18.80%,31.60%,34.50%,,47.20%,52.80%,,86.10%,8.50%,1.70%,N,N,1.80%,1.70%,11.80%,76.50%,,2.20%,6.20%,28.60%,21.00%,10.10%,19.20%,12.60%,91.60%,31.80%,,(X),7.60%,92.40%,,(X)
1216_!!Percent!!Margin of Error,(X),,±0.6,±0.8,±0.8,±0.7,,±0.5,±0.5,,±0.9,±0.8,±0.3,N,N,±0.6,±0.4,±1.0,±1.2,,±0.4,±0.7,±1.2,±1.2,±0.8,±0.9,±0.7,±0.9,±1.0,,(X),±1.0,±1.0,,(X)
1217_!!Total!!Estimate,635931,,86527,101348,191627,256429,,311152,324779,,562559,44162,6360,N,N,13388,N,75907,502411,,18834,52594,227690,138166,60035,87274,51338,564503,138612,,622036,63059,558977,,54440
1217_!!Total!!Margin of Error,±11658,,±5852,±6845,±6458,±4959,,±7784,±7016,,±11592,±3294,±1565,N,N,±2762,N,±5797,±9668,,±2903,±4828,±8274,±6467,±5179,±5383,±3460,±11272,±6648,,±11849,±8177,±12073,,±1725
1217_!!Percent!!Estimate,(X),,13.60%,15.90%,30.10%,40.30%,,48.90%,51.10%,,88.50%,6.90%,1.00%,N,N,2.10%,N,11.90%,79.00%,,3.00%,8.30%,35.80%,21.70%,9.40%,13.70%,8.10%,88.80%,21.80%,,(X),10.10%,89.90%,,(X)
1217_!!Percent!!Margin of Error,(X),,±0.8,±0.9,±0.9,±0.9,,±0.7,±0.7,,±0.8,±0.5,±0.2,N,N,±0.4,N,±0.8,±0.9,,±0.5,±0.7,±1.3,±1.0,±0.8,±0.7,±0.5,±0.9,±0.9,,(X),±1.3,±1.3,,(X)
1218_!!Total!!Estimate,604583,,91102,111501,197246,204734,,289422,315161,,504453,67771,10713,N,N,9812,9946,80032,438788,,14668,38851,167729,133129,61638,117781,70787,551064,188568,,598724,50968,547756,,70206
1218_!!Total!!Margin of Error,±11075,,±4194,±6119,±5330,±4752,,±6965,±6688,,±9455,±6133,±1793,N,N,±3261,±2664,±5945,±7623,,±2234,±4908,±9801,±8119,±5392,±7039,±5082,±12089,±7395,,±11385,±5973,±11365,,±2458
1218_!!Percent!!Estimate,(X),,15.10%,18.40%,32.60%,33.90%,,47.90%,52.10%,,83.40%,11.20%,1.80%,N,N,1.60%,1.60%,13.20%,72.60%,,2.40%,6.40%,27.70%,22.00%,10.20%,19.50%,11.70%,91.10%,31.20%,,(X),8.50%,91.50%,,(X)
1218_!!Percent!!Margin of Error,(X),,±0.6,±0.8,±0.8,±0.7,,±0.7,±0.7,,±1.0,±0.9,±0.3,N,N,±0.5,±0.4,±0.9,±1.0,,±0.4,±0.8,±1.5,±1.2,±0.9,±1.1,±0.9,±0.9,±1.2,,(X),±1.0,±1.0,,(X)
1219_!!Total!!Estimate,637525,,86697,102705,188256,259867,,307253,330272,,564767,43043,10826,N,N,11646,N,86223,492826,,15933,38330,182015,132222,59576,129638,79811,583262,209449,,628444,53451,574993,,69075
1219_!!Total!!Margin of Error,±9739,,±4690,±3932,±5780,±4945,,±6203,±5913,,±9416,±3064,±1546,N,N,±3717,N,±6478,±8441,,±2784,±5050,±9100,±6863,±5358,±7032,±4986,±10416,±8631,,±9752,±5459,±10709,,±2204
1219_!!Percent!!Estimate,(X),,13.60%,16.10%,29.50%,40.80%,,48.20%,51.80%,,88.60%,6.80%,1.70%,N,N,1.80%,N,13.50%,77.30%,,2.50%,6.00%,28.60%,20.70%,9.30%,20.30%,12.50%,91.50%,32.90%,,(X),8.50%,91.50%,,(X)
1219_!!Percent!!Margin of Error,(X),,±0.6,±0.6,±0.7,±0.8,,±0.6,±0.6,,±0.7,±0.5,±0.2,N,N,±0.6,N,±0.9,±1.0,,±0.4,±0.8,±1.3,±1.1,±0.8,±1.1,±0.7,±0.8,±1.2,,(X),±0.9,±0.9,,(X)
1220_!!Total!!Estimate,491860,,107622,118767,164581,100890,,233492,258368,,196177,257917,11431,N,N,10534,14162,106512,109082,,24467,47600,168377,103233,51071,64719,32393,419793,97112,,479717,65771,413946,,50588
1220_!!Total!!Margin of Error,±15514,,±5903,±7913,±8292,±6139,,±9484,±9231,,±10854,±11529,±2457,N,N,±2600,±3230,±9367,±7036,,±3394,±4020,±9823,±6838,±5214,±5431,±3506,±14173,±6140,,±15482,±6901,±16127,,±1950
1220_!!Percent!!Estimate,(X),,21.90%,24.10%,33.50%,20.50%,,47.50%,52.50%,,39.90%,52.40%,2.30%,N,N,2.10%,2.90%,21.70%,22.20%,,5.00%,9.70%,34.20%,21.00%,10.40%,13.20%,6.60%,85.30%,19.70%,,(X),13.70%,86.30%,,(X)
1220_!!Percent!!Margin of Error,(X),,±1.0,±1.4,±1.2,±1.1,,±1.1,±1.1,,±1.7,±1.9,±0.5,N,N,±0.5,±0.6,±1.6,±1.3,,±0.6,±0.8,±1.5,±1.2,±1.1,±1.0,±0.7,±1.1,±1.1,,(X),±1.4,±1.4,,(X)
1221_!!Total!!Estimate,549008,,80449,102050,169269,197240,,260400,288608,,440342,72016,13016,N,N,12737,9702,94922,360144,,17757,24472,129133,116470,54155,124456,82565,506779,207021,,545494,44418,501076,,68248
1221_!!Total!!Margin of Error,±11299,,±6102,±5334,±5622,±4772,,±7386,±7205,,±9959,±6406,±1907,N,N,±3698,±2154,±6935,±8525,,±2694,±3081,±8249,±6799,±4305,±6296,±4635,±10718,±7481,,±11424,±4997,±12248,,±2521
1221_!!Percent!!Estimate,(X),,14.70%,18.60%,30.80%,35.90%,,47.40%,52.60%,,80.20%,13.10%,2.40%,N,N,2.30%,1.80%,17.30%,65.60%,,3.20%,4.50%,23.50%,21.20%,9.90%,22.70%,15.00%,92.30%,37.70%,,(X),8.10%,91.90%,,(X)
1221_!!Percent!!Margin of Error,(X),,±1.0,±0.9,±0.9,±0.9,,±0.8,±0.8,,±1.1,±1.1,±0.3,N,N,±0.7,±0.4,±1.1,±1.3,,±0.5,±0.6,±1.3,±1.2,±0.8,±1.1,±0.9,±0.7,±1.4,,(X),±0.9,±0.9,,(X)
1222_!!Total!!Estimate,549615,,88538,110471,191508,159098,,270383,279232,,440871,72486,17074,N,N,8311,9796,102514,350787,,14918,22836,124958,119180,49273,135761,82689,511861,218450,,543070,45694,497376,,71558
1222_!!Total!!Margin of Error,±11955,,±7212,±6455,±6467,±5937,,±8030,±8236,,±12328,±7279,±3032,N,N,±2540,±2183,±8585,±10024,,±2464,±2906,±7188,±8167,±4074,±6939,±4760,±11543,±8369,,±11825,±5270,±12487,,±2840
1222_!!Percent!!Estimate,(X),,16.10%,20.10%,34.80%,28.90%,,49.20%,50.80%,,80.20%,13.20%,3.10%,N,N,1.50%,1.80%,18.70%,63.80%,,2.70%,4.20%,22.70%,21.70%,9.00%,24.70%,15.00%,93.10%,39.70%,,(X),8.40%,91.60%,,(X)
1222_!!Percent!!Margin of Error,(X),,±1.1,±1.1,±1.0,±1.1,,±1.0,±1.0,,±1.4,±1.3,±0.5,N,N,±0.5,±0.4,±1.4,±1.4,,±0.4,±0.5,±1.2,±1.3,±0.7,±1.1,±0.9,±0.7,±1.4,,(X),±1.0,±1.0,,(X)
1223_!!Total!!Estimate,512459,,93508,120980,182459,115512,,238034,274425,,381275,75657,19877,N,N,17862,15334,186446,222310,,11849,24417,115421,105572,59259,122882,73059,476193,195941,,510048,46755,463293,,71328
1223_!!Total!!Margin of Error,±10835,,±6084,±6139,±7280,±5967,,±7178,±7376,,±12362,±8155,±3201,N,N,±4077,±3055,±9547,±8569,,±2220,±3955,±7452,±6704,±5447,±6861,±4833,±11743,±7917,,±10782,±4860,±11007,,±3469
1223_!!Percent!!Estimate,(X),,18.20%,23.60%,35.60%,22.50%,,46.40%,53.60%,,74.40%,14.80%,3.90%,N,N,3.50%,3.00%,36.40%,43.40%,,2.30%,4.80%,22.50%,20.60%,11.60%,24.00%,14.30%,92.90%,38.20%,,(X),9.20%,90.80%,,(X)
1223_!!Percent!!Margin of Error,(X),,±1.0,±1.2,±1.1,±1.1,,±0.9,±0.9,,±1.8,±1.5,±0.6,N,N,±0.8,±0.6,±1.6,±1.5,,±0.4,±0.8,±1.4,±1.2,±1.0,±1.2,±0.9,±1.0,±1.4,,(X),±0.9,±0.9,,(X)
1224_!!Total!!Estimate,464185,,97522,124824,145307,96532,,220655,243530,,195516,228441,4816,N,N,23238,10041,178273,55560,,35990,41274,150395,97688,46326,59615,32897,386921,92512,,456765,68101,388664,,45352
1224_!!Total!!Margin of Error,±14810,,±6062,±6453,±6255,±5647,,±8693,±9154,,±11013,±11326,±1315,N,N,±4643,±2329,±9181,±4712,,±4743,±4948,±7650,±6569,±5076,±4822,±4081,±13164,±6622,,±14544,±7114,±14773,,±1974
1224_!!Percent!!Estimate,(X),,21.00%,26.90%,31.30%,20.80%,,47.50%,52.50%,,42.10%,49.20%,1.00%,N,N,5.00%,2.20%,38.40%,12.00%,,7.80%,8.90%,32.40%,21.00%,10.00%,12.80%,7.10%,83.40%,19.90%,,(X),14.90%,85.10%,,(X)
1224_!!Percent!!Margin of Error,(X),,±1.0,±1.1,±1.1,±1.0,,±1.1,±1.1,,±1.9,±1.8,±0.3,N,N,±1.0,±0.5,±1.6,±0.9,,±1.0,±1.0,±1.3,±1.3,±1.1,±1.0,±0.8,±1.4,±1.3,,(X),±1.5,±1.5,,(X)
1225_!!Total!!Estimate,466682,,84713,89649,157308,135012,,223166,243516,,423810,20280,4760,N,N,12135,5299,323253,120035,,38831,53985,124777,80234,46268,76775,45812,373866,122587,,462713,55100,407613,,60969
1225_!!Total!!Margin of Error,±15312,,±6578,±5486,±7617,±5541,,±9081,±8671,,±14695,±3061,±1516,N,N,±3440,±1461,±12497,±7230,,±3580,±5936,±9920,±6977,±4814,±5901,±4997,±14973,±8215,,±15197,±6985,±14375,,±3075
1225_!!Percent!!Estimate,(X),,18.20%,19.20%,33.70%,28.90%,,47.80%,52.20%,,90.80%,4.30%,1.00%,N,N,2.60%,1.10%,69.30%,25.70%,,8.30%,11.60%,26.70%,17.20%,9.90%,16.50%,9.80%,80.10%,26.30%,,(X),11.90%,88.10%,,(X)
1225_!!Percent!!Margin of Error,(X),,±1.1,±1.0,±1.1,±1.1,,±1.0,±1.0,,±1.1,±0.6,±0.3,N,N,±0.7,±0.3,±1.3,±1.3,,±0.8,±1.2,±1.8,±1.4,±1.0,±1.2,±1.0,±1.5,±1.6,,(X),±1.4,±1.4,,(X)
1226_!!Total!!Estimate,481612,,91634,116582,166153,107243,,226439,255173,,393768,58615,7617,N,N,14373,6614,328920,88074,,27302,44762,130478,91520,54372,92093,41085,409548,133178,,472319,52407,419912,,68233
1226_!!Total!!Margin of Error,±13767,,±5665,±5746,±7467,±5683,,±7582,±8671,,±12070,±7335,±1802,N,N,±4018,±1482,±12262,±3938,,±3995,±4798,±8008,±6469,±4302,±6964,±3988,±11821,±8152,,±13591,±6146,±13800,,±2431
1226_!!Percent!!Estimate,(X),,19.00%,24.20%,34.50%,22.30%,,47.00%,53.00%,,81.80%,12.20%,1.60%,N,N,3.00%,1.40%,68.30%,18.30%,,5.70%,9.30%,27.10%,19.00%,11.30%,19.10%,8.50%,85.00%,27.70%,,(X),11.10%,88.90%,,(X)
1226_!!Percent!!Margin of Error,(X),,±1.0,±1.1,±1.2,±1.0,,±0.9,±0.9,,±1.4,±1.4,±0.4,N,N,±0.8,±0.3,±1.5,±0.9,,±0.8,±0.9,±1.5,±1.2,±0.9,±1.3,±0.8,±1.2,±1.5,,(X),±1.3,±1.3,,(X)
1227_!!Total!!Estimate,457408,,86687,99282,147110,124329,,216811,240597,,397722,28957,9196,N,N,12306,8556,307652,112818,,27160,25555,92633,79324,41232,113348,78156,404693,191504,,450319,56806,393513,,67398
1227_!!Total!!Margin of Error,±13735,,±6556,±5511,±7854,±6165,,±8152,±8784,,±13386,±5502,±2492,N,N,±2495,±2214,±12569,±5286,,±4099,±4088,±7221,±5306,±4273,±6750,±5807,±12775,±8982,,±14018,±6252,±14065,,±3649
1227_!!Percent!!Estimate,(X),,19.00%,21.70%,32.20%,27.20%,,47.40%,52.60%,,87.00%,6.30%,2.00%,N,N,2.70%,1.90%,67.30%,24.70%,,5.90%,5.60%,20.30%,17.30%,9.00%,24.80%,17.10%,88.50%,41.90%,,(X),12.60%,87.40%,,(X)
1227_!!Percent!!Margin of Error,(X),,±1.2,±1.1,±1.2,±1.3,,±1.1,±1.1,,±1.5,±1.2,±0.5,N,N,±0.5,±0.5,±1.6,±1.2,,±0.9,±0.9,±1.3,±1.2,±0.9,±1.3,±1.2,±1.2,±1.6,,(X),±1.4,±1.4,,(X)
1301_!!Total!!Estimate,559876,,128484,142041,172974,116377,,270072,289804,,362073,170034,6651,N,N,8715,N,26954,346692,,14524,51026,178852,137496,41600,87409,48969,494326,136378,,537276,67327,469949,,55506
1301_!!Total!!Margin of Error,±5721,,±3545,±3632,±4338,±2187,,±3470,±3889,,±5450,±3063,±1294,N,N,±2313,N,±2616,±4393,,±2661,±5062,±7506,±7390,±3768,±7108,±3974,±7194,±7716,,±6329,±5583,±8142,,±2039
1301_!!Percent!!Estimate,(X),,22.90%,25.40%,30.90%,20.80%,,48.20%,51.80%,,64.70%,30.40%,1.20%,N,N,1.60%,N,4.80%,61.90%,,2.60%,9.10%,31.90%,24.60%,7.40%,15.60%,8.70%,88.30%,24.40%,,(X),12.50%,87.50%,,(X)
1301_!!Percent!!Margin of Error,(X),,±0.6,±0.6,±0.6,±0.4,,±0.4,±0.4,,±0.6,±0.6,±0.2,N,N,±0.4,N,±0.4,±0.5,,±0.5,±0.9,±1.3,±1.3,±0.7,±1.2,±0.7,±1.0,±1.4,,(X),±1.0,±1.0,,(X)
